,tc,family,cf,order
65395.cif,91.8,cuprate,Ba2Cu3Ho1O6.96,disorder
65865.cif,30.0,cuprate,Cu1La2O4.032,disorder
65913.cif,36.0,cuprate,Ba2Cu2.7Fe0.3O7.15Y1,disorder
66497.cif,67.1,cuprate,Ba2Ca0.2Cu3O7Pr0.2Y0.6,disorder
74246.cif,59.533333,cuprate,Ba2Cu3O6.64Y1,disorder
67081.cif,34.3,cuprate,Ba2Cu3Nd1O6.65,disorder
75893.cif,88.65,cuprate,Ba2Cu3O6.82Y1,disorder
671448.cif,30.2,others,Al0.25B2Mg0.75,disorder
67426.cif,7.38,cuprate,Bi2Cu1O6Sr2,order
674810.cif,2.4,others,Re0.15W0.85,disorder
67636.cif,77.7,cuprate,Ba1.8Cu4O8Sr0.2Y1,disorder
67712.cif,40.0,cuprate,Ba2Cu1O6.056Tl2,disorder
67810.cif,3.93,others,Ba1Bi0.35O3Pb0.65,disorder
67871.cif,14.4,cuprate,Ba1.55Ca0.2Cu3La1.25O6.99,disorder
68055.cif,69.0,cuprate,Ba1.7Cu3Nd1.3O7,disorder
68893.cif,30.0,cuprate,Ca0.2Cu1La1.8O4,disorder
69287.cif,32.0,cuprate,Cu1La2O4.05,disorder
69484.cif,12.8,cuprate,Ce0.17Cu1Nd1.83O4,disorder
71731.cif,90.0,cuprate,Ba2Cu3O6.92Sm1,disorder
72260.cif,0.56,others,Na0.28O3W1,disorder
75716.cif,55.25,cuprate,Ba2Cu4O8Pr0.4Y0.6,disorder
72618.cif,2.0,others,Cs0.3O3W1,disorder
78453.cif,91.0,cuprate,Ba2Cu3Nd1O6.98,disorder
74110.cif,26.9,cuprate,Ba0.17Cu1La1.83O4,disorder
74111.cif,14.0,cuprate,Ba0.24Cu1La1.76O4,disorder
74166.cif,84.5,cuprate,Ca1Cu2O7Pb0.5Sr2Tl0.5,disorder
89194.cif,45.4,cuprate,Ba2Cu3O6.51Y1,disorder
74257.cif,86.25,cuprate,Ba2Ca0.07Cu4O8Y0.93,disorder
75714.cif,66.785714,cuprate,Ba2Cu4O8Pr0.2Y0.8,disorder
74401.cif,60.55,cuprate,Ba2Cu3O6.59Y1,disorder
83923.cif,72.025,cuprate,Ba2Cu4O8Pr0.1Y0.9,disorder
75715.cif,63.666667,cuprate,Ba2Cu4O8Pr0.3Y0.7,disorder
75780.cif,22.0,cuprate,Cu1La1.945O4Rb0.055,disorder
75859.cif,51.0,cuprate,Cu2.7Fe0.3O7.1Sr2Y1,disorder
75860.cif,46.0,cuprate,Cu2.65Fe0.35O7.1Sr2Y1,disorder
78216.cif,18.266667,cuprate,Cu1La1.925O4Sr0.075,disorder
78621.cif,78.8,cuprate,Ba2Cu4O8Yb1,order
78626.cif,87.0,cuprate,Ba2Ca0.02Cu4O8Y0.98,disorder
78635.cif,30.04,cuprate,Cu1La1.875O4Sr0.125,disorder
79037.cif,12.0,cuprate,Cu1La1.35O4Sm0.45Sr0.2,disorder
80277.cif,27.0,cuprate,Ca0.35Cu2Ga1O7Sr2Y0.65,disorder
80720.cif,133.0,cuprate,Ba2Ca2Cu3Hg1O8.41,disorder
81186.cif,28.6,cuprate,Ba2Cu3Er0.5O7Pr0.5,disorder
82335.cif,7.2,others,Ba0.4Bi1K0.6O3,disorder
97066.cif,90.575,cuprate,Ba2Cu3O6.97Y1,disorder
82833.cif,88.2,cuprate,Ba2Ca0.05Cu3O6.94Y0.95,disorder
82836.cif,81.1,cuprate,Ba2Ca0.1Cu3O6.91Y0.9,disorder
83070.cif,32.0,cuprate,Ba2Cu3O6.96Pr0.4Y0.6,disorder
83140.cif,78.2,cuprate,Ba2Ca0.2Cu3O6.89Y0.8,disorder
83211.cif,21.9,cuprate,Ba2Cu3O6.29Y1,disorder
83921.cif,78.0,cuprate,Ba2Cu4O8Tb0.1Y0.9,disorder
92384.cif,29.6,cuprate,Cu0.9La1.85Mg0.1O4Sr0.15,disorder
92385.cif,15.6,cuprate,Cu0.8La1.85Mg0.2O4Sr0.15,disorder
85259.cif,37.8,cuprate,Cu1La2O4.095,disorder
85391.cif,59.0,cuprate,Ba2Cu1Hg1O4.34,disorder
85394.cif,88.85,cuprate,Ba2Cu1Hg1O4.27,disorder
85393.cif,64.5,cuprate,Ba2Cu1Hg1O4.01,disorder
85396.cif,78.0,cuprate,Ba2Cu1Hg1O4.31,disorder
86967.cif,15.0,cuprate,Ca0.08Cu1La1.92O4,disorder
86969.cif,24.0,cuprate,Ca0.12Cu1La1.88O4,disorder
87976.cif,25.0,cuprate,Cu1La1.913O4Sr0.087,disorder
89182.cif,71.6,cuprate,Ba2Ca0.2Cu3O7Y0.8,disorder
89167.cif,79.05,cuprate,Ba1.8Cu3La0.2O7Y1,disorder
89169.cif,57.45,cuprate,Ba1.7Cu3La0.3O7Y1,disorder
89170.cif,32.2,cuprate,Ba1.6Cu3La0.4O7Y1,disorder
89171.cif,0.3,cuprate,Ba1.5Cu3La0.5O7Y1,disorder
89181.cif,4.96,cuprate,Ba0.13Cu1La1.87O4,disorder
92378.cif,30.675,cuprate,Cu0.99La1.85Ni0.01O4Sr0.15,disorder
92882.cif,35.0,cuprate,Cu1Nd0.17O2Sr0.83,disorder
92883.cif,37.5,cuprate,Cu1Nd0.14O2Sr0.86,disorder
96674.cif,64.9,cuprate,Ba2Cu1O6.16Tl2,disorder
97210.cif,30.0,cuprate,Ba0.014Ca0.016Cu1La1.85O4Sr0.12,disorder
97211.cif,28.5,cuprate,Ba0.026Ca0.034Cu1La1.85O4Sr0.09,disorder
97212.cif,27.0,cuprate,Ba0.04Ca0.05Cu1La1.85O4Sr0.06,disorder
97213.cif,23.5,cuprate,Ba0.06Ca0.074Cu1La1.85O4Sr0.016,disorder
97214.cif,2.05,cuprate,Ba0.076Ca0.074Cu1La1.8Nd0.05O4,disorder
97219.cif,32.0,cuprate,Ba0.112Cu1La1.85O4Sr0.038,disorder
97220.cif,31.7,cuprate,Ba0.114Cu1La1.842Nd0.008O4Sr0.036,disorder
97221.cif,31.1,cuprate,Ba0.124Cu1La1.812Nd0.038O4Sr0.026,disorder
97222.cif,30.0,cuprate,Ba0.136Cu1La1.776Nd0.074O4Sr0.014,disorder
99282.cif,49.9,cuprate,Ba1Cu3Nd1O7.02Sr1,disorder
99287.cif,86.0,cuprate,Ba1.6Cu3Nd1O6.94Sr0.4,disorder
99289.cif,66.9,cuprate,Ba1.2Cu3Nd1O6.97Sr0.8,disorder
Pu1Co1Ga5.cif,18.5,others,Pu1Co1Ga5,order
